TSX trims weekly decline as resource shares rally,https://www.reuters.com/markets/tsx-futures-fall-ahead-crucial-us-jobs-data-2023-07-07/,08-Jul-23
Analysis: Peru copper miners say red tape snarling red metal production ramp-up,https://www.reuters.com/world/americas/peru-copper-miners-say-red-tape-snarling-red-metal-production-ramp-up-2023-07-07/,08-Jul-23
Innovation in EVs seen denting copper demand growth potential,https://www.reuters.com/business/autos-transportation/innovation-evs-seen-denting-copper-demand-growth-potential-2023-07-07/,08-Jul-23
Barrick CEO wants to search for more copper in Zambia and Congo,https://www.reuters.com/markets/commodities/barrick-ceo-wants-search-more-copper-zambia-congo-2023-07-07/,08-Jul-23
Elon Musk's SpaceX to launch satellite internet service in Mongolia,https://www.reuters.com/technology/elon-musks-spacex-launch-satellite-internet-service-mongolia-2023-07-07/,07-Jul-23
Hudbay Minerals CEO says company open to acquisition offers at right price,https://www.reuters.com/markets/commodities/hudbay-minerals-ceo-says-company-open-acquisition-offers-right-price-2023-07-07/,07-Jul-23
Amman Mineral makes firm debut in Indonesia's biggest IPO this year,https://www.reuters.com/markets/commodities/amman-mineral-opens-higher-debut-indonesias-biggest-ipo-this-year-2023-07-07/,07-Jul-23
Goldman Sachs says rising EV usage to power higher copper demand,https://www.reuters.com/markets/commodities/goldman-sachs-says-rising-ev-usage-power-higher-copper-demand-2023-07-06/,07-Jul-23
Spain's entombed 'Ivory Lady' reveals leadership role of women in antiquity,https://www.reuters.com/lifestyle/spains-entombed-ivory-lady-reveals-leadership-role-women-antiquity-2023-07-06/,07-Jul-23
Kenyan Zambian currencies expected to weaken,https://www.reuters.com/markets/currencies/africa-fx-kenyan-zambian-currencies-expected-weaken-2023-07-06/,06-Jul-23
Congo's Gecamines aims to get germanium out of new plant from October,https://www.reuters.com/markets/commodities/congos-gecamines-aims-get-germanium-out-new-plant-october-2023-07-06/,06-Jul-23
